TRANSACTION_ID,CUSTOMER_ID,PURCHASE_DATE,PRODUCT_CATEGORY,PRODUCT_NAME,AMOUNT,QUANTITY
1,1,2023-03-02,sports,Jump Rope,260.32,3
2,1,2023-07-09,books,Bestseller Novel,151.41,1
3,1,2023-07-31,books,Science Fiction Box Set,153.53,2
4,1,2023-09-18,books,Self-Help Guide,265.62,3
5,1,2023-11-06,sports,Fitness Tracker Band,324.44,1
6,1,2023-12-02,electronics,USB-C Hub,91.9,3
7,1,2024-12-05,grocery,Protein Bar Variety Pack,344.55,2
8,1,2024-09-08,books,History Anthology,270.53,1
9,1,2023-07-24,electronics,Wireless Headphones,227.31,3
10,1,2023-07-23,sports,Jump Rope,196.04,1
11,1,2023-04-03,home_goods,Kitchen Organizer,322.71,2
12,1,2025-01-04,books,Cookbook Collection,107.75,4
13,1,2023-10-22,sports,Resistance Bands,313.44,2
14,1,2023-08-24,beauty,Moisturizing Cream,278.87,3
15,1,2025-01-07,grocery,Trail Mix Bundle,313.3,2
16,1,2023-06-12,home_goods,Throw Blanket,183.29,1
17,1,2023-10-07,grocery,Trail Mix Bundle,133.88,4
18,1,2023-10-13,home_goods,Kitchen Organizer,140.19,2
19,1,2023-12-04,beauty,Hair Styling Kit,313.38,3
20,1,2024-04-06,home_goods,Wall Clock,263.47,3
21,2,2023-11-15,clothing,Wool Sweater,16.72,4
22,2,2024-05-08,home_goods,Kitchen Organizer,42.28,1
23,2,2023-08-30,beauty,Sunscreen SPF 50,26.46,4
24,2,2024-08-21,electronics,Portable Charger,45.91,2
25,2,2023-04-29,home_goods,Ceramic Vase,57.7,3
26,2,2024-12-27,sports,Water Bottle,53.16,3
27,2,2024-12-30,sports,Water Bottle,33.38,4
28,2,2024-09-06,books,Self-Help Guide,20.73,4
29,2,2025-01-10,books,History Anthology,48.67,2
30,2,2023-12-22,sports,Jump Rope,33.27,1
31,2,2023-09-20,home_goods,Kitchen Organizer,34.34,3
32,2,2024-05-14,beauty,Perfume Set,45.4,4
33,3,2025-06-12,home_goods,Wall Clock,86.96,3
34,3,2025-06-21,electronics,Bluetooth Speaker,57.94,2
35,3,2023-09-19,clothing,Winter Jacket,52.04,4
36,3,2024-11-11,sports,Yoga Mat,67.3,2
37,3,2024-12-21,books,History Anthology,65.97,2
38,3,2023-11-20,books,Bestseller Novel,100.06,2
39,3,2024-11-20,clothing,Wool Sweater,34.52,2
40,3,2024-11-12,grocery,Organic Coffee Beans,42.0,4
41,3,2025-02-25,books,Science Fiction Box Set,83.59,4
42,3,2024-10-12,sports,Jump Rope,104.75,4
43,3,2024-11-05,clothing,Denim Jeans,53.33,2
44,3,2025-01-17,grocery,Olive Oil Premium,73.61,2
45,3,2023-10-21,home_goods,Ceramic Vase,94.22,2
46,3,2024-06-25,home_goods,Kitchen Organizer,110.37,1
47,3,2024-03-26,clothing,Running Shoes,64.47,2
48,3,2023-10-07,books,Cookbook Collection,67.34,3
49,3,2024-10-01,sports,Fitness Tracker Band,35.6,4
50,4,2025-01-16,grocery,Green Tea Sampler,72.93,3
51,4,2025-02-25,home_goods,Ceramic Vase,78.44,2
52,4,2024-09-28,beauty,Vitamin C Serum,69.23,1
53,4,2025-11-07,beauty,Hair Styling Kit,91.12,4
54,4,2025-04-15,books,Cookbook Collection,112.76,1
55,4,2025-07-23,beauty,Sunscreen SPF 50,89.67,1
56,4,2024-05-10,books,History Anthology,108.02,2
57,4,2025-01-15,electronics,Tablet Stand,59.46,4
58,4,2025-01-15,home_goods,Kitchen Organizer,55.04,4
59,4,2025-04-18,home_goods,Scented Candle Set,31.74,1
60,4,2025-10-19,home_goods,Throw Blanket,36.18,1
61,4,2024-09-02,grocery,Organic Coffee Beans,47.94,1
62,4,2024-08-24,sports,Resistance Bands,41.36,1
63,4,2025-04-13,sports,Resistance Bands,92.95,3
64,4,2025-09-05,clothing,Wool Sweater,116.74,1
65,4,2024-11-06,grocery,Protein Bar Variety Pack,39.73,1
66,4,2025-11-16,home_goods,Wall Clock,111.72,4
67,4,2024-03-10,beauty,Vitamin C Serum,83.29,2
68,5,2023-06-25,grocery,Green Tea Sampler,101.66,1
69,5,2024-05-05,home_goods,Wall Clock,89.54,1
